National Forest System					
Integrated Resource Restoration	0	0	822,110	822,110	0
Collaborative Forest Landscape Restoration	40,000	40,000	60,000	20,000	50
Restoration Partnerships	2,000	0	0	0	0
Land Management Planning, Assessment & Monitoring	0	0	184,236	184,236	0
Land Management Planning	37,754	37,754	0	-37,754	-100
Inventory and Monitoring	151,019	151,019	0	-151,019	-100
Recreation, Heritage, and Wilderness	261,719	261,719	263,942	2,223	1
Wildlife & Fisheries Habitat Management	140,466	140,466	0	-140,466	-100
Grazing Management	55,356	55,356	49,706	-5,650	-10
Forest Products	339,130	339,130	0	-339,130	-100
Vegetation & Watershed Management	184,716	184,716	0	-184,716	-100
Minerals and Geology Management	76,423	76,423	70,689	-5,734	-8
Landownership Management	77,730	77,730	71,601	-6,129	-8
Law Enforcement Operations	126,653	126,653	126,030	-623	-0
Valles Caldera National Preserve	3,364	3,364	0	-3,364	-100
