
Integrated Resource Restoration	1473	1473	1473	0
Collaborative Forest Landscape Restoration	300	300	300	0
Restoration Partnerships	0	0	0	0
Land Management Planning, Assessment & Monitoring	0	0	1098	1098
Land Management Planning	236	236	0	-236
Inventory and Monitoring	862	862	0	-862
Recreation, Heritage, and Wilderness	1918	1918	1918	0
Wildlife & Fisheries Habitat Management	772	772	772	0
Grazing Management	423	423	423	0
Forest Products	2238	2239	2239	0
Vegetation & Watershed Management	858	858	858	0
Minerals and Geology Management	485	485	485	0
Landownership Management	527	527	527	0
Law Enforcement Operations	765	765	765	0
Valles Caldera National Preserve	1	0	0	0
National Forest System Total	10858	10858	10858	0
